epoch,model_level,loss,accuracy,train_time,test_time
1,2,0.5239,0.8325,3.9,0.05
2,2,0.5104,0.8426,0.2,0.06
3,2,0.4858,0.8604,0.22,0.05
4,2,0.45,0.8883,0.2,0.05
5,2,0.427,0.9137,0.19,0.05
6,2,0.4266,0.9036,0.2,0.06
7,2,0.4133,0.9061,0.21,0.04
8,2,0.4019,0.9239,0.22,0.06
9,2,0.4039,0.934,0.19,0.05
10,2,0.3969,0.9365,0.18,0.05
11,2,0.3856,0.934,0.19,0.04
12,2,0.3843,0.9365,0.2,0.05
13,2,0.3852,0.9569,0.18,0.05
14,2,0.3792,0.9442,0.22,0.06
15,2,0.3886,0.9467,0.19,0.06
1,3,0.6199,0.7948,0.22,0.07
2,3,0.5476,0.8046,0.23,0.06
3,3,0.5439,0.8046,0.21,0.06
4,3,0.5256,0.8371,0.21,0.08
5,3,0.4966,0.8534,0.22,0.06
6,3,0.4693,0.8697,0.21,0.06
7,3,0.45,0.8925,0.24,0.05
8,3,0.4325,0.8762,0.21,0.08
9,3,0.4492,0.9153,0.23,0.05
10,3,0.4402,0.9218,0.21,0.07
11,3,0.421,0.9153,0.23,0.06
12,3,0.4093,0.9218,0.19,0.08
13,3,0.4131,0.9349,0.22,0.05
14,3,0.4105,0.9121,0.19,0.07
15,3,0.4349,0.9186,0.2,0.05
1,4,0.6375,0.728,0.56,0.17
2,4,0.5818,0.7912,0.57,0.17
3,4,0.5442,0.8273,0.52,0.19
4,4,0.4897,0.886,0.53,0.19
5,4,0.4513,0.9176,0.53,0.18
6,4,0.4389,0.9221,0.54,0.18
7,4,0.4173,0.9379,0.57,0.16
8,4,0.4084,0.9334,0.53,0.18
9,4,0.3964,0.9549,0.54,0.17
10,4,0.3923,0.9537,0.55,0.17
11,4,0.3944,0.9503,0.53,0.17
12,4,0.3846,0.9549,0.55,0.18
13,4,0.3761,0.9515,0.56,0.17
14,4,0.3798,0.9571,0.53,0.17
15,4,0.3729,0.9695,0.54,0.17
1,5,0.6099,0.7559,1.41,0.42
2,5,0.5406,0.8213,1.41,0.41
3,5,0.496,0.8498,1.39,0.42
4,5,0.4622,0.8893,1.39,0.41
5,5,0.4388,0.9083,1.38,0.41
6,5,0.4215,0.9262,1.36,0.42
7,5,0.4049,0.9346,1.36,0.43
8,5,0.4002,0.942,1.39,0.41
9,5,0.3877,0.9531,1.36,0.43
10,5,0.3807,0.9462,1.37,0.42
11,5,0.3885,0.9626,1.37,0.41
1,6,0.6097,0.7474,2.06,0.62
2,6,0.5438,0.8032,2.05,0.6
3,6,0.5174,0.8301,2.02,0.61
4,6,0.4796,0.882,2.02,0.61
5,6,0.4513,0.8876,2.06,0.62
6,6,0.4278,0.9033,2.03,0.62
7,6,0.416,0.9276,2.02,0.61
8,6,0.4143,0.9229,2.01,0.62
9,6,0.4181,0.9242,2.05,0.62
10,6,0.3971,0.9404,2.03,0.62
11,6,0.3831,0.954,2.02,0.61
12,6,0.3825,0.9497,2.02,0.62
13,6,0.3822,0.9523,2.03,0.62
14,6,0.3713,0.9587,2.03,0.62
15,6,0.3784,0.9642,2.03,0.62
1,7,0.6271,0.6953,1.64,0.54
2,7,0.5759,0.7967,1.62,0.54
3,7,0.5153,0.8468,1.63,0.54
4,7,0.4701,0.8963,1.62,0.54
5,7,0.4366,0.9175,1.62,0.54
6,7,0.4196,0.9299,1.63,0.53
7,7,0.4067,0.9393,1.62,0.54
8,7,0.3972,0.9552,1.63,0.54
9,7,0.3766,0.954,1.62,0.54
10,7,0.3752,0.9611,1.63,0.53
1,8,0.6356,0.7269,0.73,0.29
2,8,0.5985,0.7639,0.72,0.29
3,8,0.56,0.8336,0.72,0.28
4,8,0.5145,0.8435,0.71,0.29
5,8,0.4785,0.8962,0.72,0.28
6,8,0.4594,0.9047,0.72,0.28
7,8,0.4228,0.9303,0.72,0.28
8,8,0.4025,0.9431,0.72,0.28
9,8,0.386,0.9587,0.72,0.28
10,8,0.3763,0.9758,0.72,0.28
1,9,0.6388,0.7212,0.71,0.21
2,9,0.6433,0.7173,0.69,0.21
3,9,0.6056,0.7096,0.69,0.23
4,9,0.5921,0.7271,0.71,0.23
5,9,0.6149,0.7407,0.69,0.22
6,9,0.6126,0.7602,0.7,0.22
7,9,0.5693,0.768,0.7,0.22
8,9,0.4747,0.7758,0.69,0.22
9,9,0.5859,0.77,0.7,0.23
10,9,0.7965,0.7544,0.73,0.21
11,9,0.4845,0.7836,0.7,0.22
12,9,0.4629,0.7953,0.72,0.22
13,9,0.7819,0.8226,0.72,0.22
14,9,0.4871,0.8304,0.68,0.21
15,9,0.4601,0.7934,0.7,0.22
1,10,0.6211,0.7092,0.14,0.11
2,10,0.6057,0.7305,0.15,0.11
3,10,0.5784,0.7872,0.15,0.11
4,10,0.5358,0.773,0.14,0.11
5,10,0.5571,0.773,0.15,0.11
6,10,0.5574,0.8511,0.15,0.11
7,10,0.5213,0.8794,0.15,0.11
8,10,0.5047,0.8298,0.15,0.11
9,10,0.5001,0.9149,0.14,0.11
10,10,0.4624,0.8723,0.15,0.11
11,10,0.4667,0.9007,0.15,0.11
12,10,0.4549,0.9007,0.14,0.11
13,10,0.4269,0.9291,0.15,0.11
14,10,0.4203,0.922,0.15,0.11
15,10,0.4289,0.922,0.15,0.11
1,11,0.626,0.6774,0.1,0.06
2,11,0.6047,0.6613,0.11,0.05
3,11,0.5884,0.6774,0.09,0.06
4,11,0.5914,0.6452,0.09,0.06
5,11,0.5813,0.7419,0.09,0.06
6,11,0.5669,0.7742,0.1,0.05
7,11,0.5251,0.8387,0.11,0.04
8,11,0.5052,0.8387,0.09,0.06
9,11,0.5113,0.9355,0.08,0.06
10,11,0.4606,0.9516,0.1,0.05
11,11,0.4066,0.9677,0.09,0.06
1,12,0.6308,0.875,0.1,0.03
2,12,0.5982,0.7917,0.08,0.03
3,12,0.568,0.7917,0.08,0.04
4,12,0.5466,0.9583,0.09,0.04
5,12,0.5221,0.8333,0.1,0.02
6,12,0.4839,0.9167,0.08,0.04
7,12,0.4498,0.9167,0.1,0.03
8,12,0.4288,0.9583,0.08,0.03
9,12,0.4266,0.9167,0.09,0.02
10,12,0.4338,0.9167,0.08,0.03
11,12,0.3825,0.9167,0.08,0.03
12,12,0.4014,0.9583,0.1,0.04
13,12,0.3828,0.9167,0.08,0.03
14,12,0.378,1.0,0.09,0.04
1,13,0.706,0.875,0.11,0.02
2,13,0.6773,0.375,0.11,0.04
3,13,0.7022,0.375,0.08,0.03
4,13,0.6783,0.625,0.1,0.02
5,13,0.638,1.0,0.09,0.03
1,14,0.6865,0.5,0.07,0.02
2,14,0.7212,0.6667,0.08,0.02
3,14,0.6725,1.0,0.08,0.04
1,15,0.6635,0.75,0.08,0.02
2,15,0.6497,0.75,0.08,0.02
3,15,0.5862,0.75,0.11,0.02
4,15,0.5651,0.75,0.08,0.03
5,15,0.55,0.6667,0.09,0.02
6,15,0.5453,0.6667,0.11,0.02
7,15,0.5413,0.75,0.09,0.02
8,15,0.526,0.6667,0.09,0.02
9,15,0.5385,0.75,0.09,0.02
10,15,0.5154,0.75,0.11,0.03
11,15,0.4742,0.75,0.08,0.02
12,15,0.4667,0.75,0.07,0.02
13,15,0.4389,0.9167,0.1,0.02
14,15,0.4263,0.9167,0.08,0.02
15,15,0.4007,0.8333,0.08,0.02
1,16,0.669,0.7,0.08,0.02
2,16,0.5848,0.9,0.08,0.02
3,16,0.5689,0.9,0.06,0.02
4,16,0.5264,1.0,0.06,0.02
1,17,0.692,0.6667,0.11,0.03
2,17,0.6628,0.8333,0.1,0.03
3,17,0.6358,0.75,0.08,0.02
4,17,0.5968,0.8333,0.11,0.02
5,17,0.5847,0.75,0.09,0.02
6,17,0.5626,0.6667,0.1,0.02
7,17,0.5502,0.8333,0.07,0.03
8,17,0.5405,0.75,0.08,0.02
9,17,0.5459,0.75,0.07,0.02
10,17,0.5484,0.8333,0.09,0.02
11,17,0.5407,0.8333,0.1,0.02
12,17,0.5381,0.75,0.1,0.02
13,17,0.5363,0.8333,0.07,0.02
14,17,0.5361,0.6667,0.08,0.02
15,17,0.5122,0.75,0.07,0.03
1,2,0.4093,0.9186,0.89,0.12
2,2,0.3963,0.911,0.59,0.13
3,2,0.4146,0.9261,0.58,0.14
4,2,0.3965,0.929,0.56,0.14
5,2,0.3842,0.9299,0.63,0.15
6,2,0.3806,0.9375,0.6,0.18
7,2,0.3795,0.9432,0.62,0.15
8,2,0.3929,0.947,0.52,0.14
9,2,0.3802,0.9479,0.59,0.14
10,2,0.3747,0.9479,0.54,0.14
11,2,0.3643,0.9489,0.57,0.12
12,2,0.372,0.9564,0.58,0.14
13,2,0.3711,0.9536,0.57,0.12
14,2,0.3668,0.9489,0.57,0.13
15,2,0.3717,0.9564,0.56,0.12
1,3,0.484,0.8588,0.36,0.09
2,3,0.452,0.8891,0.34,0.1
3,3,0.4261,0.921,0.35,0.1
4,3,0.4227,0.9176,0.35,0.09
5,3,0.4002,0.9345,0.35,0.09
6,3,0.4008,0.9429,0.36,0.1
7,3,0.4047,0.9294,0.38,0.12
8,3,0.4082,0.9361,0.36,0.1
9,3,0.3937,0.9361,0.35,0.09
10,3,0.3853,0.9462,0.4,0.1
11,3,0.3892,0.9479,0.36,0.1
12,3,0.3876,0.9546,0.34,0.09
13,3,0.3772,0.9479,0.34,0.12
14,3,0.3801,0.9597,0.4,0.1
15,3,0.3789,0.9597,0.35,0.09
1,4,0.433,0.9228,1.07,0.32
2,4,0.4022,0.9491,1.05,0.32
3,4,0.3877,0.9473,1.08,0.33
4,4,0.3783,0.9611,1.06,0.33
1,5,0.4639,0.8899,3.61,1.08
2,5,0.4244,0.9178,3.5,1.1
3,5,0.4059,0.9346,3.46,1.1
4,5,0.3938,0.9489,3.59,1.1
5,5,0.3908,0.9531,3.51,1.1
6,5,0.3792,0.9645,3.5,1.1
1,6,0.4799,0.8779,6.81,2.05
2,6,0.4388,0.8907,6.75,2.06
3,6,0.4242,0.9213,6.73,2.06
4,6,0.4079,0.9238,6.68,2.06
5,6,0.4014,0.9336,6.69,2.07
6,6,0.3932,0.9404,6.69,2.07
7,6,0.3857,0.9479,6.71,2.06
8,6,0.3814,0.9548,6.74,2.06
9,6,0.3813,0.9519,6.71,2.07
10,6,0.3717,0.9623,6.7,2.06
1,7,0.4889,0.871,7.01,2.1
2,7,0.4427,0.9123,6.94,2.13
3,7,0.4231,0.9169,6.93,2.12
4,7,0.4114,0.9244,6.97,2.12
5,7,0.4014,0.94,6.95,2.11
6,7,0.397,0.9491,6.95,2.11
7,7,0.3884,0.9554,6.95,2.11
8,7,0.3858,0.9558,6.94,2.11
9,7,0.3819,0.9614,6.97,2.11
1,8,0.4728,0.894,2.14,0.65
2,8,0.4403,0.9156,2.08,0.64
3,8,0.4201,0.9249,2.09,0.65
4,8,0.4086,0.9398,2.11,0.65
5,8,0.4043,0.9503,2.1,0.64
6,8,0.3863,0.9481,2.08,0.65
7,8,0.3899,0.9498,2.09,0.65
8,8,0.3852,0.9553,2.09,0.65
9,8,0.3759,0.9558,2.08,0.66
10,8,0.3697,0.9674,2.08,0.65
1,9,0.5869,0.7644,2.36,0.73
