model_level,converged_epoch
2,15
3,15
4,15
5,11
6,15
7,10
8,10
9,15
10,15
11,11
12,14
13,5
14,3
15,15
16,4
17,15
2,15
3,15
4,4
5,6
6,10
7,9
8,10
9,15
10,11
11,5
12,11
13,2
14,7
15,3
16,3
17,10
2,15
3,6
4,5
5,6
6,12
7,8
8,6
9,15
10,9
11,10
12,15
13,1
14,1
15,1
16,1
17,1
2,15
3,5
4,3
5,5
6,6
7,6
8,5
9,10
10,5
11,3
12,9
13,1
14,1
15,2
16,1
17,5
2,15
3,2
4,3
5,5
6,8
7,9
8,7
9,11
10,6
11,4
12,2
13,1
14,1
15,1
16,1
17,1
2,15
3,1
4,6
5,2
6,7
7,4
8,4
9,4
10,3
11,2
12,6
13,2
14,1
15,1
16,1
17,1
2,15
3,1
4,2
5,5
6,8
7,5
8,5
9,7
10,8
11,3
12,2
13,1
14,1
15,1
16,1
17,2
2,15
3,3
4,2
5,1
6,7
7,5
8,3
9,3
10,2
11,1
12,2
13,1
14,1
15,1
16,1
17,4
2,15
3,1
4,1
5,2
6,7
7,6
8,3
9,5
10,5
11,2
12,3
13,1
14,1
15,1
16,1
17,1
2,15
3,1
4,1
5,1
6,2
7,3
8,1
9,3
10,3
11,2
12,3
13,1
14,1
15,1
16,1
17,1
