epoch,model_level,loss,accuracy,train_time,test_time
15,2,0.399,0.9231,1.28,0.27
1,3,0.3722,0.962,0.88,0.24
1,4,0.3816,0.9646,3.37,1.05
1,5,0.3834,0.9602,15.69,4.74
2,6,0.3787,0.9602,31.15,9.63
3,7,0.3797,0.9604,71.95,21.85
1,8,0.3759,0.9605,23.95,7.51
3,9,0.3734,0.9646,60.64,19.29
3,10,0.3763,0.9629,19.99,6.24
2,11,0.3695,0.9712,5.08,1.58
3,12,0.3628,0.9643,3.4,1.03
1,13,0.3608,1.0,0.13,0.04
1,14,0.3357,0.9932,0.2,0.15
1,15,0.3275,0.9833,0.14,0.05
1,16,0.3191,0.9932,0.23,0.17
1,17,0.3224,0.9909,0.66,0.28
